bezirk,total_population,youth_ratio
Mitte,397004.0,0.4483723394545074
Friedrichshain-Kreuzberg,292624.0,0.449022320084312
Pankow,427276.0,0.4175721868835524
Charlottenburg-Wilmersdorf,343500.0,0.411071858285578
Spandau,259277.0,0.38973133820845296
Steglitz-Zehlendorf,310044.0,0.37585751703608933
Tempelhof-Schöneberg,356959.0,0.4114195548280198
Neukölln,329488.0,0.4103845321931401
Treptow-Köpenick,297236.0,0.3993602835409636
Marzahn-Hellersdorf,294091.0,0.40436058377924344
Lichtenberg,315548.0,0.43229249922065915
Reinickendorf,274098.0,0.38259191153536254
