scenario,district,run_id,total_items,items_reused,items_collected,reuse_rate,avg_time_to_reuse,avg_time_to_collection,avg_queue_length,max_queue_length,total_co2_kg
baseline,Berlin,0,1913,72,1820,0.03763721902770518,1.5033183706976687,5.065509090899262,606.6666666666666,1213,4550.0
baseline,Berlin,1,1824,59,1736,0.03234649122807018,1.1622814425646177,5.068668003132666,578.6666666666666,1157,4340.0
baseline,Berlin,2,1888,60,1791,0.03177966101694915,1.1876473022588276,4.897366458797352,597.0,1194,4477.5
baseline,Berlin,3,1831,64,1748,0.034953577280174765,1.2195510571647834,4.773270764343716,582.6666666666666,1165,4370.0
baseline,Berlin,4,1889,78,1788,0.04129168872419269,1.3207063186388917,5.0916795343010515,596.0,1192,4470.0
baseline,Berlin,5,1853,59,1763,0.03184025903939557,1.2605791844908676,5.047995645954066,587.6666666666666,1175,4407.5
baseline,Berlin,6,1910,64,1822,0.033507853403141365,1.4991312032243296,4.909990782133923,607.3333333333334,1214,4555.0
baseline,Berlin,7,1900,57,1812,0.03,1.4134348189341535,5.265475454137948,604.0,1208,4530.0
baseline,Berlin,8,1855,80,1741,0.0431266846361186,1.4251428721744601,4.779829353413738,580.3333333333334,1160,4352.5
baseline,Berlin,9,1793,62,1707,0.03457891801450084,1.175581841585538,4.9754831887579565,569.0,1138,4267.5
pessimistic,Berlin,0,1786,133,1635,0.07446808510638298,1.546050369302278,4.8048085823511775,545.0,1090,4087.5
pessimistic,Berlin,1,1795,118,1642,0.06573816155988858,1.3274761923239013,4.726594569859076,547.3333333333334,1094,4105.0
pessimistic,Berlin,2,1741,126,1593,0.07237219988512349,1.502707803533844,5.067137784198561,531.0,1062,3982.5
pessimistic,Berlin,3,1706,120,1566,0.07033997655334115,1.857094516784413,4.942319899662012,522.0,1044,3915.0
pessimistic,Berlin,4,1791,123,1645,0.06867671691792294,1.4053507604160789,4.954141307267112,548.3333333333334,1096,4112.5
pessimistic,Berlin,5,1900,131,1738,0.06894736842105263,1.4959833068235482,4.9772892837312375,579.3333333333334,1158,4345.0
pessimistic,Berlin,6,1767,120,1622,0.06791171477079797,1.3317975507462612,4.61647722046864,540.6666666666666,1081,4055.0
pessimistic,Berlin,7,1846,136,1678,0.07367280606717226,1.4418974143920928,4.895166440449645,559.3333333333334,1118,4195.0
pessimistic,Berlin,8,1805,97,1684,0.05373961218836565,1.5473894215755324,5.017645513786186,561.3333333333334,1122,4210.0
pessimistic,Berlin,9,1832,143,1673,0.07805676855895197,1.3911599776345145,4.7592771147373565,557.6666666666666,1115,4182.5
realistic,Berlin,0,1863,215,1630,0.11540526033279656,1.380273914865149,4.918043177066301,543.3333333333334,1086,4075.0
realistic,Berlin,1,1799,221,1569,0.12284602556976097,1.5566477890014996,5.0647522376477445,523.0,1046,3922.5
realistic,Berlin,2,1892,222,1650,0.11733615221987315,1.420566595728627,5.007851793266526,550.0,1100,4125.0
realistic,Berlin,3,1791,217,1547,0.12116136236739251,1.44159249629034,4.797926877014966,515.6666666666666,1031,3867.5
realistic,Berlin,4,1871,215,1620,0.11491181186531267,1.3948448458898888,4.781980346475292,540.0,1080,4050.0
realistic,Berlin,5,1814,227,1554,0.12513781697905182,1.3932401977168387,5.016290796978428,518.0,1036,3885.0
realistic,Berlin,6,1784,212,1545,0.11883408071748879,1.355119437810702,4.92268262010285,515.0,1030,3862.5
realistic,Berlin,7,1947,228,1697,0.11710323574730354,1.3702060134201743,4.808145861304901,565.6666666666666,1131,4242.5
realistic,Berlin,8,1878,228,1628,0.12140575079872204,1.507927954051937,4.734200052264972,542.6666666666666,1085,4070.0
realistic,Berlin,9,1846,222,1603,0.12026002166847237,1.1649493513769373,4.789310166674811,534.3333333333334,1068,4007.5
optimistic,Berlin,0,1885,374,1498,0.1984084880636605,1.3138560200220906,4.689738330106767,499.3333333333333,998,3745.0
optimistic,Berlin,1,1774,337,1413,0.18996617812852312,1.5285454299861787,4.800753604151236,471.0,942,3532.5
optimistic,Berlin,2,1854,327,1505,0.17637540453074432,1.3793825747553896,4.703996093974419,501.6666666666667,1003,3762.5
optimistic,Berlin,3,1809,318,1475,0.175787728026534,1.2995023917611188,4.709398218305585,491.6666666666667,983,3687.5
optimistic,Berlin,4,1823,305,1495,0.16730663741086121,1.4578294962645864,4.763967185703807,498.3333333333333,996,3737.5
optimistic,Berlin,5,1789,328,1436,0.18334264952487422,1.4287415157772319,4.829995635057039,478.6666666666667,957,3590.0
optimistic,Berlin,6,1801,311,1470,0.17268184342032206,1.5689561809516963,4.746254506039983,490.0,980,3675.0
optimistic,Berlin,7,1857,339,1496,0.1825525040387722,1.4042466794824824,4.723735607588407,498.6666666666667,997,3740.0
optimistic,Berlin,8,1823,310,1483,0.170049369171695,1.5284144292955117,4.787910270769696,494.3333333333333,988,3707.5
optimistic,Berlin,9,1776,338,1413,0.19031531531531531,1.4128907668007684,4.711586452373775,471.0,942,3532.5
